pearson_r,target_positive_proportion,roc_auc,estimate__count__
0.0,0.05,175.501998860369,351.0
0.0,0.1,176.0010693166293,352.0
0.0,0.15,194.80766288655545,389.0
0.0,0.2,176.00904709863852,352.0
0.0,0.25,184.52191437515387,369.0
0.0,0.3,183.9047111746463,368.0
0.0,0.35,173.09009161461677,346.0
0.0,0.4,183.93628917169744,368.0
0.0,0.45,197.92037483605887,396.0
0.0,0.5,175.31608628345853,351.0
0.0,0.55,168.892470828907,338.0
0.0,0.6,174.20987132162466,348.0
0.0,0.65,180.0110717076346,360.0
0.0,0.7,185.9388524513733,372.0
0.0,0.75,182.11180795835693,364.0
0.0,0.8,170.4270446888496,341.0
0.0,0.85,177.50900030746843,355.0
0.0,0.9,194.8993753736659,390.0
0.0,0.95,161.34544148763402,322.0
0.01,0.05,182.18366208608435,360.0
0.01,0.1,191.96978289493785,380.0
0.01,0.15,166.27867412064023,329.0
0.01,0.2,171.33762473648702,339.0
0.01,0.25,179.66269158036394,356.0
0.01,0.3,170.0832982133789,337.0
0.01,0.35,172.4394719697024,342.0
0.01,0.4,169.83915130962217,337.0
0.01,0.45,173.52342994922313,344.0
0.01,0.5,170.47051238586118,338.0
0.01,0.55,176.13608675327046,349.0
0.01,0.6,175.71324226557107,348.0
0.01,0.65,163.31070789261432,324.0
0.01,0.7,165.46415968252637,328.0
0.01,0.75,170.77845637168215,338.0
0.01,0.8,167.61109216643084,332.0
0.01,0.85,167.0899896160356,330.0
0.01,0.9,188.0625493712524,372.0
0.01,0.95,174.51322652176862,344.0
0.02,0.05,194.1364649285412,379.0
0.02,0.1,188.56878943903305,369.0
0.02,0.15,176.06049047770034,345.0
0.02,0.2,189.9747708655757,373.0
0.02,0.25,180.41616693978065,354.0
0.02,0.3,181.2801059145146,356.0
0.02,0.35,179.86118391054364,353.0
0.02,0.4,186.3092631362944,366.0
0.02,0.45,194.42439972319525,382.0
0.02,0.5,187.74792516421195,369.0
0.02,0.55,162.9002613405119,320.0
0.02,0.6,192.45016760395248,378.0
0.02,0.65,197.4761252495358,388.0
0.02,0.7,181.31430729039857,356.0
0.02,0.75,174.9883553163112,343.0
0.02,0.8,181.64464114622413,356.0
0.02,0.85,184.21825828999235,361.0
0.02,0.9,195.85542801181413,383.0
0.02,0.95,199.91719988054896,390.0
0.03,0.05,176.90877255610434,341.0
0.03,0.1,166.4033891537319,322.0
0.03,0.15,191.0912836795952,371.0
0.03,0.2,173.72813626667252,337.0
0.03,0.25,185.6069968566578,361.0
0.03,0.3,163.9723894303038,319.0
0.03,0.35,193.71085885997104,377.0
0.03,0.4,185.79402134329985,362.0
0.03,0.45,186.0093178095755,362.0
0.03,0.5,189.0683171460033,368.0
0.03,0.55,196.66851046765507,383.0
0.03,0.6,184.93965463705428,360.0
0.03,0.65,173.1794486351537,337.0
0.03,0.7,187.6031944480829,365.0
0.03,0.75,195.04753780900663,378.0
0.03,0.8,177.82316853385788,345.0
0.03,0.85,179.0475809361512,347.0
0.03,0.9,182.2047558190445,353.0
0.03,0.95,196.18955823832584,378.0
0.04,0.05,172.4444547057138,329.0
0.04,0.1,180.28656581479987,345.0
0.04,0.15,171.3663745755717,329.0
0.04,0.2,199.95996694895788,385.0
0.04,0.25,172.9455399158828,333.0
0.04,0.3,186.7160579392811,360.0
0.04,0.35,170.07064749127855,328.0
0.04,0.4,195.96205827375235,378.0
0.04,0.45,208.3610227931343,402.0
0.04,0.5,175.5629441267186,339.0
0.04,0.55,181.2771436238357,350.0
0.04,0.6,197.51513254070008,381.0
0.04,0.65,174.1364743637592,336.0
0.04,0.7,182.05886986992635,351.0
